nifa,net_tfa,tw,age,inc,fsize,educ,db,marr,twoearn,e401,p401,pira,hown
14100,12300,39300,33,36894,4,16,0,1,0,0,0,0,1
200,1200,69200,62,16620,1,12,0,0,0,0,0,1,1
18400,14900,164900,42,92775,5,16,0,1,0,0,0,0,1
600,-5400,-3900,43,19563,1,16,0,0,0,0,0,0,0
26000,26000,93500,45,69552,4,18,1,1,1,0,0,0,1
0,-3600,-2100,26,2025,1,16,0,0,0,0,0,0,0
328,-2172,93828,39,60594,4,16,0,1,1,0,0,0,1
10300,10300,22300,40,16875,4,12,1,1,0,0,0,0,1
28988,50192,138268,63,65457,1,18,1,0,0,0,0,1,1
20,-3980,14570,36,30480,1,16,0,0,0,0,0,1,1
1400,-2800,105200,45,68244,4,17,0,1,0,0,0,0,1
500,-3000,138419,37,19236,1,14,1,0,0,0,0,0,0
0,0,0,27,4056,3,10,0,0,0,0,0,0,0
19300,25618,219583,59,40854,2,12,0,1,1,0,0,1,1
0,-3300,-800,36,8622,1,16,0,0,0,0,0,0,0
106300,131350,241350,43,73710,2,18,0,1,0,0,0,1,1
0,-1400,-1400,34,16686,4,10,0,1,1,0,0,0,0
155,455,455,52,33291,3,16,1,1,1,0,0,1,0
2700,13500,51200,27,59901,2,15,0,1,1,0,0,1,1
0,0,50000,54,27732,2,11,1,1,0,0,0,0,1
8500,8300,111300,44,16797,4,13,1,1,1,0,0,0,1
525,-3975,34405,46,25332,2,12,0,0,0,0,0,0,1
88,68,68,28,7779,1,13,0,0,0,0,0,0,0
21000,-9000,21354,33,109608,4,18,0,1,1,0,0,0,1
64100,264100,352200,56,92790,2,14,0,1,1,0,0,1,1
0,0,0,39,10800,2,12,0,0,0,0,0,0,0
250,-14750,50250,33,46239,3,18,0,1,1,0,0,0,1
0,0,0,62,7011,1,9,0,0,0,0,0,0,0
4700,3500,6000,35,18582,1,12,0,0,0,0,0,0,0
92499,125599,223599,44,77730,4,12,0,1,1,0,0,1,1
1074,-2342,-2342,25,30957,2,14,0,1,1,0,0,0,0
25,25,525,28,11352,1,12,0,0,0,0,0,0,0
11499,9499,9499,29,36300,1,16,0,0,0,0,0,0,0
5748,5748,11748,51,20193,2,13,1,1,0,0,0,0,1
0,-200,102800,43,14070,4,4,0,1,0,0,0,0,1
80691,66691,156291,49,85515,2,18,0,1,1,0,0,0,1
392,-108,29892,64,21138,2,12,0,1,0,0,0,0,1
0,0,4575,27,39000,4,12,1,0,0,0,0,0,0
0,-30000,-30000,26,9402,2,12,0,1,0,0,0,0,1
7800,-200,12800,43,89175,3,18,1,1,1,0,0,0,1
5900,23750,146555,63,80796,2,12,0,1,1,0,0,1,1
2600,2600,42550,34,53760,5,14,0,0,0,0,0,0,1
65000,63800,63800,29,44559,2,12,1,1,1,0,0,0,0
0,0,0,31,11340,1,12,0,0,0,0,0,0,0
510,-5490,-2990,42,30000,3,18,1,0,0,0,0,0,0
3049,2049,13049,40,59523,3,14,0,1,1,0,0,0,1
632,2132,24632,64,12171,1,12,0,0,0,0,0,1,1
730,-20157,-14915,44,1200,1,17,0,0,0,0,0,0,0
4999,4999,4999,32,4890,1,10,0,0,0,0,0,0,0
400,400,900,27,13464,2,12,0,0,0,0,0,0,0
16500,4500,107000,35,93129,4,16,1,1,1,0,0,0,1
12000,12000,267000,62,68076,5,16,0,1,0,0,0,0,1
0,0,0,48,9600,2,9,0,1,0,0,0,0,0
400,-479,21,28,7869,1,11,1,0,0,0,0,0,0
4000,-8800,44800,56,11490,2,12,0,1,1,0,0,0,1
2000,0,0,29,26514,2,15,1,1,0,0,0,0,0
20,-4980,30020,38,33360,5,12,0,1,1,0,0,0,1
14000,13493,135672,34,53562,1,17,0,0,0,0,0,0,0
0,0,2000,57,4140,3,4,0,0,0,0,0,0,1
0,0,8053,30,11550,2,14,0,0,0,0,0,0,0
28849,28649,118145,60,28875,3,12,0,0,0,0,0,0,1
1889,-611,-611,26,50400,3,16,0,1,0,0,0,0,0
0,0,500,53,14994,1,2,1,0,0,0,0,0,0
399,-3801,7399,30,44424,2,12,0,1,1,0,0,0,0
0,0,1000,26,24372,1,13,0,0,0,0,0,0,0
3999,6899,11790,26,28830,1,12,1,0,0,0,0,1,0
1100,-200,11800,31,49434,2,16,0,1,1,0,0,0,0
129720,161626,461626,48,107922,4,15,0,1,0,0,0,1,1
8100,18000,71000,51,57291,2,14,1,1,1,0,0,1,1
1949,5719,31219,42,61744,3,12,0,1,0,0,0,1,1
0,0,0,50,16320,6,12,0,1,0,0,0,0,0
150,-1600,6400,37,19446,4,11,0,1,1,0,0,0,1
3000,3000,27000,43,32850,4,12,0,1,1,0,0,0,0
5300,10150,222350,49,20340,2,14,1,0,0,0,0,1,1
56298,79966,144966,47,20910,4,12,0,1,1,0,0,1,1
0,0,0,51,16500,5,12,0,1,0,0,0,0,0
10000,5800,13800,29,53337,2,18,1,1,1,0,0,0,1
5798,55798,216091,52,56514,2,18,0,0,0,0,0,1,1
0,-9200,-9200,40,39954,3,16,0,1,1,0,0,0,0
0,0,0,29,10080,2,12,0,0,0,0,0,0,0
8500,33700,206700,47,38946,4,12,0,1,1,0,0,1,1
0,-3060,4940,25,36000,4,11,0,1,0,0,0,0,1
0,0,0,64,11775,3,7,0,1,0,0,0,0,0
3000,2800,16800,34,29106,4,16,0,1,1,0,0,1,1
110,-2890,13110,38,50550,6,12,1,1,1,0,0,0,0
3500,-4537,231463,41,95706,5,16,0,1,0,0,0,1,0
200,-1305,56150,33,32010,4,13,0,1,1,0,0,0,1
200,-100,29900,61,8382,2,12,0,1,0,0,0,0,1
305,-895,153480,43,43044,7,11,0,1,1,0,0,0,1
3000,3000,9500,33,11898,2,12,1,0,0,0,0,0,1
1825,955,7971,29,23370,1,14,0,0,0,0,0,0,0
15300,24300,110898,51,35847,1,12,1,0,0,0,0,1,1
20,-3601,-3601,36,26370,6,14,0,1,1,0,0,0,1
3199,3199,3199,42,26985,4,14,0,1,1,0,0,0,1
2503,-12797,36203,41,35520,3,12,0,1,1,0,0,0,1
1849,1849,9445,42,33138,1,14,1,0,0,0,0,0,0
0,0,0,39,42777,2,7,0,1,1,0,0,0,0
219999,231759,231759,57,27696,1,13,1,0,0,0,0,1,0
11500,11500,33500,44,46800,3,18,0,1,1,0,0,1,1
600,-11400,120600,40,24615,4,12,0,1,0,0,0,0,1
4849,3749,18749,51,45102,2,13,0,1,0,0,0,0,1
0,0,35500,42,10200,1,9,0,0,0,0,0,0,1
1000,988,22679,27,12933,2,12,0,0,0,0,0,0,1
2500,2500,7500,37,30540,3,14,0,1,1,0,0,0,1
0,0,750,39,19125,4,13,0,0,0,0,0,0,0
80999,95999,410999,34,77334,3,12,0,1,1,0,0,1,1
0,-3200,-3200,60,15810,3,12,0,1,0,0,0,0,0
250,250,1750,30,16500,1,9,0,0,0,0,0,0,1
499,-1501,160499,61,14466,2,9,0,1,0,0,0,0,1
0,-200,41053,39,19263,3,13,0,0,0,0,0,0,1
0,-200,-200,30,8247,4,5,0,0,0,0,0,0,0
21299,21299,62499,49,56646,2,12,1,1,1,0,0,0,1
16100,45060,165060,54,90234,2,14,0,1,1,0,0,1,1
35,-2965,27035,48,40326,4,11,0,1,1,0,0,0,1
0,0,0,43,17844,3,8,1,0,0,0,0,0,0
7500,6000,9000,28,29880,3,12,0,1,1,0,0,0,1
800,800,800,62,26034,6,10,0,1,1,0,0,0,0
4000,28700,130600,36,55152,4,12,0,1,1,0,0,1,1
10850,10450,56550,52,41697,2,12,1,1,1,0,0,0,1
16550,17407,88407,38,99330,3,18,1,1,1,0,0,1,1
0,0,1000,60,0,1,7,0,0,0,0,0,0,0
0,-800,31200,53,20910,5,12,0,1,1,0,0,0,1
0,-256,244,37,12633,4,12,1,0,0,0,0,0,1
5,5,5,44,27720,5,13,0,1,1,0,0,0,0
3800,3200,113396,48,31830,1,14,0,0,0,0,0,0,1
505,-1945,15055,29,26865,4,12,0,1,1,0,0,0,1
400,-10600,7600,30,15840,2,18,0,1,1,0,0,0,0
0,-2100,17900,46,6075,4,10,0,1,0,0,0,0,1
5,-7195,-7195,31,47904,3,12,0,1,1,0,0,0,0
0,0,15362,38,31500,3,13,0,0,0,0,0,0,1
3800,3800,4700,36,21402,1,12,1,0,0,0,0,0,0
1999,1999,16552,29,15420,1,14,0,0,0,0,0,0,0
58388,56388,84388,48,14400,4,12,0,1,0,0,0,0,1
500,-10030,-9280,32,22140,3,13,1,1,0,0,0,0,0
50,800,7863,27,18000,1,18,0,0,0,0,0,1,0
2900,29820,35820,45,51327,2,18,1,1,0,0,0,1,1
50,50,550,30,16800,2,16,0,0,0,0,0,1,0
0,0,0,29,1530,1,11,0,0,0,0,0,0,0
78300,105070,531445,53,20661,5,12,1,0,0,0,0,1,1
50,-2350,5650,39,12522,5,12,0,1,1,0,0,0,0
2487,-6013,-513,28,45252,4,15,0,1,1,0,0,0,0
2000,-13092,-9192,26,55311,2,18,1,1,1,0,0,0,0
1850,1690,6265,35,22140,3,12,0,0,0,0,0,0,0
3406,-3244,2756,25,16266,2,13,0,1,1,0,0,0,0
3250,-1750,85750,27,71598,2,15,0,1,1,0,0,0,1
1000,-1200,10800,41,27375,4,12,0,1,1,0,0,0,1
0,0,5000,25,14172,1,14,0,0,0,0,0,0,0
101400,111200,161200,47,60960,2,11,0,1,1,0,0,1,1
800,-700,32650,47,5106,1,12,0,0,0,0,0,0,1
600,100,49100,41,28035,3,12,0,1,1,0,0,0,1
162300,214300,314300,43,84900,3,18,1,1,1,0,0,1,1
70,-2030,-1530,30,7650,2,15,0,0,0,0,0,0,0
15,15,3365,46,7638,4,13,0,0,0,0,0,0,0
3299,-701,9999,28,24192,2,16,0,0,0,0,0,0,1
1300,300,6475,29,19215,1,12,0,0,0,0,0,0,0
0,0,2000,32,10176,5,11,0,1,0,0,0,0,1
50350,47700,576200,62,65028,2,12,0,1,0,0,0,1,1
4500,4200,50675,55,25710,1,13,0,0,0,0,0,0,1
0,0,500,28,9408,5,9,0,0,0,0,0,0,0
700,-9300,-850,41,32646,2,12,0,0,0,0,0,0,1
600,-12600,16400,59,37992,7,12,0,1,0,0,0,0,1
2600,150,150150,37,29946,4,18,0,1,0,0,0,0,1
200,200,14700,38,28143,4,12,0,1,1,0,0,0,1
1650,-3350,4703,36,28800,1,18,0,0,0,0,0,0,0
64500,58500,108679,47,47292,1,16,1,0,0,0,0,0,1
400,-1400,13600,29,25308,4,12,0,1,0,0,0,1,1
0,0,500,39,8700,3,16,0,0,0,0,0,0,0
200,-300,44200,43,11400,4,12,1,0,0,0,0,0,1
20299,20299,108324,55,31098,1,13,0,0,0,0,0,0,1
3300,-6700,6750,40,22752,4,12,1,0,0,0,0,0,1
0,-4015,-1015,40,44610,6,12,0,1,1,0,0,0,0
129199,169199,376699,59,30000,2,12,0,1,0,0,0,1,1
5509,5509,23509,27,36675,3,12,1,1,1,0,0,0,1
800,800,800,28,15774,1,12,0,0,0,0,0,0,0
3215,7765,76015,37,58143,2,14,0,1,1,0,0,1,1
1500,-100,2400,31,10350,2,12,0,0,0,0,0,0,0
0,0,0,38,7110,2,12,0,0,0,0,0,0,0
12000,12000,12000,38,44874,1,12,0,0,0,0,0,0,0
35299,32299,107799,48,49263,4,12,0,1,0,0,0,0,1
0,0,22000,30,10200,4,14,0,1,0,0,0,0,1
2600,-6400,-3200,45,50025,2,12,0,1,1,0,0,0,1
30300,35883,80883,39,56913,3,16,0,1,1,0,0,1,1
65000,70600,128100,39,47499,1,18,0,0,0,0,0,1,1
18548,34271,265271,64,24675,4,12,0,1,0,0,0,1,1
1800,1500,100500,31,22959,4,12,0,1,1,0,0,0,1
1960,-1240,65560,40,61398,4,14,0,1,0,0,0,0,1
150,150,22150,59,12975,4,12,0,0,0,0,0,0,1
5462,5092,64517,29,36744,1,12,0,0,0,0,0,1,1
0,0,0,31,11451,4,10,0,0,0,0,0,0,0
3499,4199,6499,29,31350,2,13,0,1,1,0,0,1,1
8179,7179,7179,28,13428,2,12,0,1,0,0,0,0,0
20548,20348,73098,45,27786,3,12,0,1,1,0,0,0,1
1251000,1305500,1655500,59,199041,3,16,0,1,0,0,0,1,1
0,3000,3000,44,15300,2,9,0,1,0,0,0,1,0
117300,145720,213220,63,41790,2,13,0,1,0,0,0,1,1
4498,4498,14773,32,28599,1,12,0,0,0,0,0,0,1
4800,4800,80300,55,9843,1,7,0,0,0,0,0,0,1
499,-2501,58749,52,11910,1,12,1,0,0,0,0,0,1
85000,97000,97000,59,49701,1,12,0,0,0,0,0,1,0
1200,350,49270,44,49656,6,13,0,1,0,0,0,0,1
3000,-12400,-1400,37,33000,2,12,1,0,0,0,0,0,1
1398,398,398,41,38844,4,12,0,1,1,0,0,0,0
500,-250,5061,32,26496,1,16,0,1,0,0,0,0,0
1999,1999,1999,30,28356,4,12,0,1,0,0,0,0,0
750,-1600,900,29,33381,1,12,0,0,0,0,0,0,0
1355,-2645,3355,48,34437,3,13,0,1,0,0,0,0,1
150,-50,28700,42,14928,4,12,1,0,0,0,0,0,1
800,800,48800,52,26118,3,11,0,1,1,0,0,0,1
1500,1500,7950,36,17055,2,13,0,0,0,0,0,0,0
9000,26000,96455,64,28908,1,18,0,0,0,0,0,1,1
2800,-11200,134200,31,63303,4,12,0,1,0,0,0,1,1
90349,90349,141724,35,54960,4,12,0,1,1,0,0,0,1
300,-5700,-800,26,20400,1,12,0,0,0,0,0,0,0
2500,1300,29200,28,51984,2,14,0,1,1,0,0,0,1
3250,10650,13050,30,25809,3,14,0,1,1,0,0,1,0
4999,4999,4999,34,60108,2,18,0,1,1,0,0,0,0
9999,9499,9499,29,52200,2,16,0,1,1,0,0,0,0
8000,8000,13000,28,24051,4,12,0,1,0,0,0,0,0
899,-301,109699,54,21462,2,6,0,1,1,0,0,0,1
60,-9840,-17709,28,31440,4,12,0,1,1,0,0,0,1
0,-444,556,31,15912,3,12,0,0,0,0,0,0,0
0,0,500,39,17412,3,12,0,0,0,0,0,0,0
0,-16000,-16000,41,240,1,12,0,0,0,0,0,0,0
500,-1170,7291,27,24564,1,16,0,0,0,0,0,0,0
13100,35000,100000,53,17244,3,15,0,1,0,0,0,1,1
0,-3200,7800,32,30630,4,10,0,1,1,0,0,0,0
43662,59262,196304,58,19245,1,12,1,0,0,0,0,1,1
1049,-451,11027,45,35340,3,12,1,0,0,0,0,0,1
5000,5000,5000,35,37167,2,16,1,1,0,0,0,0,0
0,-900,14100,32,24000,5,12,1,1,1,0,0,0,0
50,-1450,-1450,56,8160,1,12,0,0,0,0,0,0,0
800,-1200,-1200,52,17040,1,14,0,0,0,0,0,0,0
4900,4100,180600,33,23661,1,16,0,0,0,0,0,0,0
0,4447,4447,53,3780,1,4,1,0,0,0,0,1,0
7006,9606,13209,27,40584,1,16,1,0,0,0,0,1,0
20,20,2770,40,19044,4,12,1,0,0,0,0,0,0
700,-2300,7714,34,22698,3,14,0,0,0,0,0,0,0
4000,4250,14929,26,30255,1,18,0,0,0,0,0,1,0
0,0,750,41,1035,1,16,1,0,0,0,0,0,0
29000,29000,88400,58,20067,3,17,0,0,0,0,0,0,1
1000,800,1391,28,17100,3,12,1,0,0,0,0,0,0
41900,41710,111685,47,22092,3,14,0,0,0,0,0,0,1
1000,-3000,28725,25,33750,1,16,0,0,0,0,0,0,0
3300,-46700,-46700,32,44460,4,14,1,1,1,0,0,0,0
200,-2300,-2300,36,19284,5,12,0,1,1,0,0,0,0
0,0,0,51,13500,2,12,0,0,0,0,0,0,0
650,-11600,-10900,33,41925,3,14,0,1,1,0,0,0,0
150,-350,99150,62,23310,1,12,0,0,0,0,0,0,1
900,900,900,28,20916,1,12,0,0,0,0,0,0,0
198898,208842,552342,37,32628,3,16,0,1,1,0,0,1,1
1520,-980,-980,56,29529,4,12,0,1,0,0,0,0,0
11140,11140,16382,32,35331,1,15,1,0,0,0,0,0,1
999,999,3999,31,27600,4,12,0,1,0,0,0,0,1
30248,20262,34637,27,15291,1,14,0,0,0,0,0,0,0
2999,2999,127999,60,18402,5,8,1,0,0,0,0,0,1
499,499,499,38,11250,4,6,0,1,0,0,0,0,1
1300,100,42100,52,21090,4,14,0,1,1,0,0,0,1
0,0,500,60,6312,1,1,0,0,0,0,0,0,0
500,-14500,-11000,26,14670,2,12,0,1,0,0,0,0,0
102,2318,25318,40,52647,3,13,0,1,1,0,0,1,1
2999,22999,68799,64,25380,1,10,1,0,0,0,0,1,1
3000,-900,966,34,36993,1,16,0,0,0,0,0,1,0
500,500,15500,28,19131,3,13,0,1,0,0,0,0,1
200,200,950,41,10200,2,12,0,0,0,0,0,0,0
0,-40,-40,27,8928,3,12,0,0,0,0,0,0,0
1248,-8752,100998,38,59229,5,12,0,1,1,0,0,0,1
1500,-9400,15600,27,59331,2,12,0,1,1,0,0,0,1
300,-3400,12900,35,22110,4,14,0,1,0,0,0,0,1
75,75,575,42,6801,3,12,0,0,0,0,0,0,0
1000,1000,41000,40,17106,2,12,0,1,0,0,0,0,1
749,-3036,42964,28,19701,4,6,0,1,1,0,0,0,1
1500,4638,18188,27,18075,3,13,0,0,0,0,0,1,1
1500,-3500,74500,32,46998,7,8,0,1,1,0,0,0,1
350,-68850,-33108,31,11721,1,18,0,0,0,0,0,0,1
250,-10250,-8250,49,29898,5,12,0,1,1,0,0,0,0
80008,79757,142757,55,38679,1,12,1,0,0,0,0,1,1
999,999,7999,35,19260,4,12,0,1,0,0,0,0,1
0,-13551,-13551,41,7824,1,14,0,0,0,0,0,0,0
25,-875,-875,43,23892,6,12,1,1,1,0,0,0,0
24999,24999,85678,48,44376,1,12,0,0,0,0,0,0,1
1099,-14901,-12362,30,19644,2,12,1,0,0,0,0,0,0
0,0,0,28,23970,4,15,0,1,1,0,0,0,0
1500,-8300,-5200,36,26772,1,15,0,0,0,0,0,0,1
8600,7600,90600,58,33219,4,12,0,1,0,0,0,0,1
999,999,80999,59,33084,2,12,0,1,0,0,0,0,1
50199,47199,86199,55,34248,2,17,1,0,0,0,0,0,1
17000,29000,339000,36,95592,4,17,0,1,1,0,0,1,1
0,7300,7300,25,12114,1,16,0,0,0,0,0,1,0
206,-825,887,30,17427,2,13,0,1,1,0,0,0,1
38000,34420,34420,42,90000,5,18,0,1,1,0,0,1,1
1700,1700,234650,42,29475,5,18,0,0,0,0,0,0,1
2225,-1275,6778,25,56664,2,15,1,0,0,0,0,0,0
0,0,500,48,17088,3,6,1,0,0,0,0,0,0
410,110,5110,28,41130,2,14,0,1,1,0,0,0,1
3000,3000,3000,32,14580,2,12,0,1,0,0,0,0,0
255,-1245,-1245,52,21420,5,11,0,1,0,0,0,0,0
0,0,0,59,10422,6,12,0,1,0,0,0,0,0
400,400,2219,33,25326,4,10,0,1,0,0,0,0,0
400,0,12500,27,20460,3,12,0,1,1,0,0,0,1
4417,5217,67644,32,33804,5,12,0,1,0,0,0,1,1
0,-3000,-2000,32,40800,1,12,0,0,0,0,0,0,0
360,-53640,-53640,43,12750,6,16,0,1,0,0,0,0,0
3149,2149,30649,40,12915,4,12,0,0,0,0,0,0,1
0,-1855,16645,34,16122,3,13,0,1,1,0,0,0,1
400,-2600,9400,39,16200,4,13,0,1,1,0,0,1,0
1900,8300,8500,40,40194,3,12,1,1,1,0,0,1,0
1749,249,33249,52,22047,4,12,0,1,1,0,0,0,1
4400,1400,162940,33,54966,3,18,0,1,1,0,0,0,1
3613,2863,2863,56,16290,1,12,0,0,0,0,0,0,0
1050,-2800,5013,33,62808,3,16,1,1,1,0,0,0,1
3200,-1800,31200,52,66603,3,12,1,1,1,0,0,0,1
450,450,450,54,14310,2,10,0,1,0,0,0,0,0
100,80,16080,48,19680,4,12,0,1,1,0,0,0,0
1510,4310,12335,50,22263,2,13,0,0,0,0,0,1,0
0,0,0,47,7041,2,12,0,0,0,0,0,0,0
25199,23699,32199,31,43116,1,14,0,0,0,0,0,0,1
13000,13000,13000,57,4875,1,12,0,0,0,0,0,0,0
8000,8000,28000,29,102996,4,12,0,1,0,0,0,0,1
165,-735,2944,25,17853,3,10,0,0,0,0,0,0,0
1170,-3530,16470,31,44853,4,16,0,1,1,0,0,0,1
7499,8999,159649,58,13404,1,11,0,0,0,0,0,1,1
400,400,27000,60,23244,1,12,0,0,0,0,0,0,1
22998,22998,425798,54,31587,2,10,0,1,0,0,0,0,1
0,0,3500,35,33843,2,10,1,0,0,0,0,0,0
350,350,883,45,7596,3,13,0,0,0,0,0,0,0
42000,72450,139450,29,67575,2,18,0,1,1,0,0,1,0
20,-1480,520,35,21216,10,14,0,1,0,0,0,0,0
9000,9000,35575,40,32676,3,18,1,0,0,0,0,0,1
18200,18200,118200,53,34920,2,12,0,1,0,0,0,0,1
8699,8699,83699,35,9933,2,12,1,1,1,0,0,0,1
5049,6049,77049,44,67602,7,16,1,1,1,0,0,1,1
1949,-2051,2949,35,33759,3,13,0,1,1,0,0,0,1
3000,3000,3750,38,12930,5,10,0,1,0,0,0,0,0
250,-100,993,25,14895,1,14,0,0,0,0,0,0,0
0,0,4800,46,17280,6,12,0,0,0,0,0,0,0
6999,39499,214499,63,12294,2,16,0,1,0,0,0,1,1
399,-1701,10324,54,22074,2,12,0,0,0,0,0,0,1
29999,41499,41999,61,22893,1,18,0,0,0,0,0,1,0
300,300,3500,34,16845,1,11,1,0,0,0,0,0,1
5298,5298,5298,48,51591,5,16,0,1,0,0,0,0,0
1860,-4390,35610,27,40830,3,14,0,1,1,0,0,0,1
2000,2600,2600,61,34680,1,16,0,0,0,0,0,1,0
25,-13375,-9444,39,15600,4,13,0,1,0,0,0,0,0
9000,13500,70500,44,48300,3,16,0,1,0,0,0,1,1
60000,84000,93050,62,25020,2,12,1,0,0,0,0,1,0
49,49,72049,64,13497,4,10,0,0,0,0,0,0,1
0,-3000,73000,46,11592,3,12,0,0,0,0,0,0,1
849,409,17409,34,27345,5,10,0,1,0,0,0,0,1
1549,449,7449,35,32022,3,14,0,1,0,0,0,0,0
4300,-9100,-6675,30,29364,1,18,0,0,0,0,0,0,0
0,-2000,-2000,45,17076,3,10,0,1,0,0,0,0,1
35330,65330,107330,42,61857,5,14,1,1,1,0,0,1,1
25,-7075,-7075,36,8574,1,16,0,0,0,0,0,0,0
0,0,0,48,9864,1,12,0,0,0,0,0,0,0
900,300,29700,50,18348,4,6,0,0,0,0,0,0,1
3488,1208,23058,46,34131,7,15,0,1,1,0,0,0,1
2049,3749,50749,60,43425,4,11,0,1,1,0,0,1,1
3500,2000,38000,29,57870,4,13,0,1,0,0,0,0,1
1100,-1500,2833,28,33849,1,13,0,0,0,0,0,0,0
0,-1000,6500,31,18819,1,14,0,0,0,0,0,0,0
111249,133249,289249,54,65661,4,12,0,1,1,0,0,1,1
4999,4999,6499,35,34647,1,15,0,0,0,0,0,0,0
700,700,8700,52,22791,4,6,0,1,0,0,0,0,0
22700,22300,73100,38,47043,5,16,1,1,1,0,0,0,1
97000,112000,115550,44,22416,1,18,0,0,0,0,0,1,0
11000,24100,109400,40,24660,2,17,0,0,0,0,0,1,1
0,0,75000,41,13260,2,13,0,0,0,0,0,0,1
900,750,4975,26,18360,1,15,0,0,0,0,0,0,0
87,-3413,7587,45,8880,3,6,0,1,0,0,0,0,0
2000,2000,146000,54,40665,2,12,0,1,0,0,0,0,1
0,0,20000,25,27120,4,12,0,1,0,0,0,0,1
20100,45900,291900,64,38124,2,11,0,1,0,0,0,1,1
8000,6000,215461,39,21945,1,16,0,0,0,0,0,0,1
51600,73000,213000,48,66450,2,12,1,1,1,0,0,1,1
21299,13409,103409,35,35283,5,12,0,1,0,0,0,0,1
500,500,1833,41,16200,1,12,0,0,0,0,0,0,0
469,-2736,2264,30,39957,4,16,0,1,0,0,0,0,0
35300,20300,58600,50,46632,2,12,0,1,0,0,0,0,1
0,-29050,-28550,48,16560,2,18,0,0,0,0,0,0,0
1999,1999,7741,30,24600,1,7,0,0,0,0,0,0,0
0,0,87150,38,15300,1,17,0,0,0,0,0,0,1
0,0,12500,31,20565,3,15,0,0,0,0,0,0,1
3446,3446,3946,47,30720,2,15,0,0,0,0,0,0,0
0,0,10000,30,17481,5,6,0,1,1,0,0,0,1
6550,8250,67750,62,39648,2,17,0,1,1,0,0,1,1
3050,-21950,507725,33,24711,1,16,0,0,0,0,0,0,1
24500,22000,63000,41,35061,3,12,0,1,1,0,0,0,0
4100,920,105170,45,30240,3,14,0,0,0,0,0,0,1
0,0,0,31,7962,2,12,0,0,0,0,0,0,0
22799,35699,92442,55,21390,2,18,0,0,0,0,0,1,1
27,-7773,-4852,47,10590,3,12,0,0,0,0,0,0,1
0,-720,3280,33,6090,4,12,0,1,1,0,0,0,0
10499,1594,1594,30,57585,3,18,0,1,1,0,0,0,0
7999,7799,7799,25,46506,2,14,0,1,1,0,0,0,0
1015,15,2758,42,13851,4,8,1,0,0,0,0,0,0
12499,4499,4999,37,39000,2,12,0,0,0,0,0,0,1
1800,1600,25600,40,34680,5,15,0,1,1,0,0,0,1
1499,-11601,-11101,33,16590,5,12,0,1,1,0,0,0,0
3805,-2195,11805,31,69936,4,16,0,1,1,0,0,0,1
0,0,0,32,12720,3,8,0,1,0,0,0,0,0
4999,999,61999,31,55200,3,16,0,1,1,0,0,0,1
0,-900,-900,30,27930,3,6,0,1,1,0,0,0,0
2898,98,150098,37,39468,3,12,0,1,1,0,0,0,1
12898,12898,212898,41,84495,6,18,1,1,1,0,0,0,1
22,-843,157,32,12207,1,12,0,0,0,0,0,0,0
200,-800,27200,42,15384,7,13,0,1,1,0,0,0,1
60,-540,10345,31,27036,4,12,0,1,0,0,0,0,1
21000,25000,88000,40,70650,4,15,1,1,1,0,0,1,1
1000,-4500,350,28,45360,1,18,0,0,0,0,0,0,0
3270,1770,3295,27,29661,1,16,0,0,0,0,0,1,0
0,0,0,33,6900,2,10,0,0,0,0,0,0,0
0,-9400,-8900,31,19200,3,12,0,0,0,0,0,0,0
1000,-3000,-3000,58,36975,4,12,0,1,1,0,0,0,0
0,-500,2850,29,62520,2,16,0,1,0,0,0,0,0
9997,8897,96897,36,44400,5,13,0,1,1,0,0,1,1
15499,28499,33741,61,25992,4,16,0,0,0,0,0,1,1
100,-8000,-2500,39,36984,1,18,1,0,0,0,0,1,1
10,-1490,3510,26,11460,4,9,0,1,1,0,0,0,0
60500,97500,726650,41,57657,3,3,0,1,0,0,0,1,1
1500,-500,2233,32,30669,1,13,0,0,0,0,0,1,0
83000,93800,410000,54,75876,2,14,0,1,1,0,0,1,1
15000,64653,68753,42,51492,1,17,0,0,0,0,0,1,0
5,-3495,3505,29,44472,4,12,1,1,1,0,0,0,1
0,0,1000,52,20574,1,9,0,0,0,0,0,0,0
20650,40450,340950,31,33948,1,16,1,0,0,0,0,1,0
240,-14160,24439,31,16560,2,12,0,1,1,0,0,0,0
7125,6325,55325,35,32265,4,12,0,1,1,0,0,0,1
180,180,780,44,26415,2,14,0,0,0,0,0,0,0
1499,199,19199,42,32130,4,17,1,1,1,0,0,0,1
0,0,0,30,16608,2,12,0,0,0,0,0,0,0
20949,20949,42449,26,27975,3,12,0,1,0,0,0,0,1
45,-6355,-3413,25,35700,1,16,0,0,0,0,0,0,0
0,-15000,-4321,26,97998,1,18,0,0,0,0,0,0,0
0,0,1800,33,19347,3,13,0,1,1,0,0,0,0
0,-1500,-1500,42,28800,4,12,0,1,0,0,0,0,1
35000,35000,57596,27,38874,1,17,1,0,0,0,0,0,0
900,-2400,12975,39,26925,5,12,0,1,0,0,0,0,0
1350,1350,1350,38,55350,4,16,0,1,1,0,0,0,0
10000,9300,13625,28,36300,1,16,0,0,0,0,0,0,0
700,400,35075,41,25272,3,12,0,0,0,0,0,0,1
5000,4700,4700,33,41637,2,12,0,1,1,0,0,0,0
0,0,0,42,7668,3,6,0,1,0,0,0,0,0
